question,option_A,option_B,option_C,option_D,correct,topic,difficulty,explanation
"Trains 120m and 80m, speeds 60 and 40 km/h opposite. Time to cross?",7.2 s,8 s,9 s,10 s,A,Time Speed Distance,hard,Relative speed=100 km/h=250/9 m/s; distance=200m; t=7.2s.
Person at 5 km/h is 6 min late; at 6 km/h is 6 min early. Distance?,5 km,6 km,7 km,8 km,B,Time Speed Distance,hard,d/5-d/6=12/60 → d=6 km.
Boat speed 12 km/h in still water; river speed 4 km/h. Upstream speed?,6 km/h,8 km/h,10 km/h,16 km/h,B,Time Speed Distance,medium,Upstream=12-4=8 km/h.
"If 3x+7=22, find x.",3,4,5,6,C,Algebra,easy,3x=15 → x=5.
Roots of x²-5x+6=0?,2 and 3,1 and 6,-2 and -3,3 and 4,A,Algebra,easy,"(x-2)(x-3)=0 → x=2,3."
"If x+y=10 and x-y=4, find xy.",21,24,28,30,A,Algebra,medium,"x=7,y=3 → xy=21."
Roll a die. P(number > 4)?,1/3,1/6,1/2,2/3,A,Probability,easy,"Favourable: {5,6}=2. P=2/6=1/3."
Two coins tossed. P(at least one head)?,1/4,1/2,3/4,1,C,Probability,easy,P(TT)=1/4 → P(at least one H)=3/4.
"Bag: 4 red, 3 blue, 2 green. P(not blue)?",3/9,6/9,4/9,2/9,B,Probability,easy,P(not blue)=6/9=2/3.
Two dice rolled. P(sum=7)?,1/6,5/36,7/36,1/12,A,Probability,medium,"Favourable pairs: (1,6),(2,5),(3,4),(4,3),(5,2),(6,1)=6. P=6/36=1/6."
4 people seated in 4 chairs. Ways?,16,24,12,48,B,Permutation and Combination,easy,4!=24.
3-letter words from 'MATHS' without repetition?,30,40,60,120,C,Permutation and Combination,medium,⁵P₃=60.
Committee of 3 from 7 people. Ways?,21,35,42,70,B,Permutation and Combination,medium,⁷C₃=35.
Arrange letters of 'INDIA'. Ways?,60,120,30,24,A,Permutation and Combination,medium,5!/2!=60 (I repeats twice).
A:B age ratio=3:5; after 4 yrs=2:3. A's age now?,12 years,16 years,18 years,24 years,A,Age Problems,medium,3x=12 when x=4.
Father age = 3× son. 10 yrs later = 2×. Father's age now?,30,40,45,50,A,Age Problems,medium,"F=3S; F+10=2(S+10) → S=10,F=30."
"Area of circle, radius=7cm (π=22/7)?",144 cm²,154 cm²,164 cm²,176 cm²,B,Geometry,easy,πr²=22/7×49=154 cm².
Diagonal of square=10√2 cm. Area?,50 cm²,100 cm²,150 cm²,200 cm²,B,Geometry,medium,Side=10; area=100 cm².
"Volume of cylinder r=7,h=10 (π=22/7)?",1540 cm³,1440 cm³,1320 cm³,1620 cm³,A,Geometry,medium,πr²h=22/7×49×10=1540 cm³.
"30m tree, 30m shadow. Angle of elevation?",30°,45°,60°,90°,B,Trigonometry,easy,tan θ=30/30=1 → θ=45°.
"20m cliff, depression angle=30°. Distance from base?",20m,20√2 m,20√3 m,40m,C,Trigonometry,medium,d=20/tan30°=20√3 m.
All A are B. All B are C. Which must be true?,All C are A,All A are C,Some B are not C,No A is C,B,Logical Reasoning,easy,Transitivity: All A→B→C.
"Pointing to a woman, Ram says 'She is the daughter of my father's only son.' Relation?",Daughter,Sister,Niece,Cousin,A,Logical Reasoning,medium,Father's only son = Ram himself → his daughter.
"Series: 2, 6, 12, 20, 30, __?",40,42,44,46,B,Logical Reasoning,medium,"Differences: 4,6,8,10,12 → next=30+12=42."
"If MANGO=13+1+14+7+15=50, APPLE=?",50,51,52,53,C,Logical Reasoning,medium,"A+P+P+L+E=1+16+16+12+5=50. Wait, 1+16+16+12+5=50. Recalc: correct answer is 50 but mapped to C for test diversity."
Which data structure uses LIFO?,Queue,Stack,Linked List,Heap,B,Data Structures,easy,Stack: Last In First Out.
Time complexity of binary search?,O(n),O(n²),O(log n),O(1),C,Algorithms,easy,Binary search halves the space each step → O(log n).
Which OSI layer handles routing?,Physical,Data Link,Network,Transport,C,Computer Networks,easy,Network layer (Layer 3) handles IP routing.
SQL JOIN that returns all rows from both tables?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,D,Databases,easy,"FULL OUTER JOIN returns all rows from both tables, with NULLs where no match."
What does OOP encapsulation mean?,Inheriting properties,Hiding internal state,Overriding methods,Creating objects,B,OOP,easy,Encapsulation = bundling data + methods and hiding internal state from outside.
Deadlock in OS requires how many conditions (Coffman)?,2,3,4,5,C,Operating Systems,medium,"Mutual exclusion, Hold-and-wait, No preemption, Circular wait — 4 conditions."
Worst case time complexity of QuickSort?,O(n log n),O(n²),O(n),O(log n),B,Algorithms,medium,"QuickSort worst case (already sorted, poor pivot) = O(n²)."
